count;element;include;valid_counts;freq
1;:;no;0;0
250;:a;yes;250;0.004249027
153;:‰;yes;153;0.002600405
185;:e;yes;185;0.00314428
50;:;yes;50;0.000849805
387;:i;yes;387;0.006577494
487;:o;yes;487;0.008277105
7;:—;yes;7;0.000118973
333;:u;yes;333;0.005659704
1;'l;no;0;0
1;'s;no;0;0
2;'t;no;0;0
5387;a;yes;5387;0.091558033
1383;‰;yes;1383;0.023505617
314;b;yes;314;0.005336778
135;c;yes;135;0.002294475
2931;d;yes;2931;0.049815592
2604;e;yes;2604;0.044257865
1139;;yes;1139;0.019358567
4887;;yes;4887;0.083059979
7;f;yes;7;0.000118973
1618;g;yes;1618;0.027499703
559;h;yes;559;0.009500824
4827;i;yes;4827;0.082040213
1;’;yes;1;1.69961E-05
1;ë;yes;1;1.69961E-05
1358;”;yes;1358;0.023080715
1;’’;yes;1;1.69961E-05
2383;k;yes;2383;0.040501725
1766;l;yes;1766;0.030015127
2601;m;yes;2601;0.044206877
4272;n;yes;4272;0.072607373
21;_;yes;21;0.000356918
3080;o;yes;3080;0.052348012
925;—;yes;925;0.0157214
2181;p;yes;2181;0.037068511
3;qu;no;0;0
10;r;yes;10;0.000169961
34;s;yes;34;0.000577868
2180;t;yes;2180;0.037051515
3512;u;yes;3512;0.059690331
42;œ;yes;42;0.000713837
246;v;yes;246;0.004181043
1213;w;yes;1213;0.020616279
1;_o;no;0;0
3391;x;yes;3391;0.057633802
1976;y;yes;1976;0.033584309
30189;;no;0;0