Language	Length distribution	Syllable inventory	Phone inventory	nchar	phones	notes.phones	words
Italian				9.49	30	PH, EA	longer
Arabic				NA	35	Egyptian Arabic, UPSID	shorter
Tsimane'				NA	30	PH, EA	shorter
Cantonese				NA	32	wikipedia	shorter
English				8.23	39	American, UZ	shorter
Mandarin				NA	32	UPSID	shorter
Swedish				8.51	35	PH, EA	longer
Slovak				7.28	44	UZ, EA	longer
Persian				NA	32	wikipedia	longer
Spanish				8.8	25	UPSID	longer
Sotho				NA	40	wikipedia	longer
Yélî				NA	90	Levinson	shorter