type,ortho,target,phono
3,dimope,dimope,NA
4,diponate,diponate,NA
3,diyeto,diyeto,NA
1,dp:a,dp_a,NA
1,dpa,dpa,NA
1,dpâ,dpa2,NA
1,dpê,dpe,NA
1,dpéé,dpee,NA
1,dpi,dpi,NA
1,dpu,dpu,NA
1,gh:ââ,gh_aa,NA
1,ghuu,ghuu,NA
2,kamo,kamo,NA
2,kani,kani,NA
2,kipo,kipo,NA
1,kp:ââ,kp_aa,NA
1,kpu,kpu,NA
1,lv:ê,lv_e,NA
1,lva,lva,NA
1,lvi,lvi,NA
3,meyadi,meyadi,NA
3,mituye,mituye,NA
3,nademo,nademo,NA
3,nayeki,nayeki,NA
2,noki,noki,NA
2,nomi,nomi,NA
4,nomiwake,nomiwake,NA
practice,nopimade,nopimade,NA
3,nuyedi,nuyedi,NA
3,pedumi,pedumi,NA
2,piwa,piwa,NA
practice,poni ,poni,NA
1,t:êê,t_ee,NA
3,tiwune,tiwune,NA
4,todiwuma,todiwuma,NA
2,towi,towi,NA
1,tp:a,tp_a,NA
1,tpâ,tpe,NA
1,tpê,tumowe,NA
3,tumowe,tupa,NA
2,tupa,wadikeno,NA
4,wadikeno,wi,NA
practice,wî ,widone,NA
3,widone,wumipo,NA
3,wumipo,yi,NA